"","st","year","a_mean_dentist","a_mean_doctor","a_mean_nurse","a_mean_den_doc","a_mean_den_nurse"
"263","KY",2009,149430,164160,58110,0.910270467836257,2.57150232318018
"264","KY",2010,131130,169500,58130,0.773628318584071,2.25580595217616
"265","KY",2011,129610,172260,60040,0.752409148960873,2.15872751499001
"266","KY",2012,144760,178780,57510,0.809710258418168,2.51712745609459
"267","KY",2013,157290,180090,57520,0.873396635015825,2.73452712100139
"268","KY",2014,150950,181810,57980,0.830262361806281,2.6034839599862
"269","KY",2015,168460,191400,58770,0.880146290491118,2.8664284498894
"270","KY",2016,176730,212640,59810,0.8311230248307,2.9548570473165
"271","KY",2017,163390,214830,61530,0.760554857329051,2.6554526247359
"272","KY",2018,154230,211670,63100,0.728634194737091,2.44421553090333
"273","LA",2004,110660,163350,48820,0.677441077441077,2.26669397787792
"274","LA",2005,98890,164100,50950,0.602620353443023,1.94092247301276
"275","LA",2006,95870,169830,53070,0.564505682152741,1.80648200489919
"276","LA",2007,101900,164450,55670,0.619641228336881,1.83042931560984
"277","LA",2008,138550,173040,59320,0.800681923254739,2.33563722184761
"278","LA",2009,134810,182730,60290,0.737755157883216,2.2360258749378
"279","LA",2010,151990,193550,62060,0.785275122707311,2.44908153399936
"280","LA",2011,155210,183760,64190,0.844634305616021,2.41797787817417
"281","LA",2012,158850,168330,61260,0.943682053109963,2.59304603330069
"282","LA",2013,144460,163950,61780,0.881122293382129,2.33829718355455
"283","LA",2014,148240,182790,60230,0.810985283658843,2.46123194421385
"284","LA",2015,139080,206440,62450,0.673706645998837,2.22706164931946
"285","LA",2016,126030,221180,63370,0.569807396690478,1.98879596023355
"286","LA",2017,115050,218480,63560,0.526592823141706,1.81010069225928
"287","LA",2018,124020,217580,63970,0.569997242393602,1.93872127559794
"288","MA",2004,141320,147860,62490,0.95576897064791,2.26148183709393
"289","MA",2005,134080,151740,66250,0.883616712798207,2.02384905660377
"290","MA",2006,142030,157510,70910,0.901720525680909,2.00296150049358
"291","MA",2007,148220,175650,74940,0.843837176202676,1.97784894582333
"292","MA",2008,152260,185200,79390,0.822138228941685,1.91787378763068
"293","MA",2009,169340,187070,81780,0.90522264393008,2.07067742724383
"294","MA",2010,174290,187260,84990,0.930738011321158,2.05071184845276
"295","MA",2011,180210,186980,86810,0.963792919028773,2.07591291325884
"296","MA",2012,176080,197740,83370,0.89046222312127,2.11203070648914
